Frequency(Hz),Magnitude(dB),Phase(deg)
637.934,-4.362557395573106,-159.511902
645.927,-4.3602913955731,-163.430084
654.021,-4.356789395573102,-167.366882
662.215,-4.352486395573109,-171.346649
670.513,-4.347534395573106,-175.399567
678.915,-4.34246139557311,-179.444962
687.422,-4.336418395573105,176.433548
696.035,-4.328644395573107,172.276642
704.756,-4.319184395573103,168.087067
713.587,-4.307434395573111,163.852722
722.528,-4.294762395573102,159.502502
731.582,-4.2808153955731,155.157074
740.748,-4.266243395573099,150.799469
750.03,-4.2503363955731,146.289581
759.428,-4.232209395573108,141.776779
768.944,-4.212075395573109,137.183838
778.579,-4.189240395573108,132.566238
788.334,-4.163803395573112,127.817734
798.212,-4.135353395573105,123.062241
808.214,-4.103890395573103,118.203896
818.341,-4.069863395573108,113.321564
828.595,-4.030869395573106,108.447105
838.977,-3.987725395573108,103.43161
849.489,-3.9405983955731045,98.285416
860.134,-3.8904043955731,93.145569
870.911,-3.8378453955731118,87.937576
881.824,-3.7834553955730996,82.711113
892.873,-3.7258003955731027,77.351433
904.061,-3.664131395573108,71.999245
915.389,-3.598595395573099,66.495094
926.859,-3.5301973955731114,60.898987
938.472,-3.45782539557311,55.175179
950.231,-3.381333395573108,49.354057
962.138,-3.29925639557311,43.533203
974.194,-3.2117313955731106,37.556297
986.4,-3.120377395573101,31.570208
998.76,-3.0242923955730987,25.362494
1011.274,-2.9248053955731024,19.098063
1023.946,-2.821076395573101,12.680691
1036.776,-2.713593395573099,6.238237
1049.767,-2.6036303955731057,-0.361528
1062.921,-2.491295395573104,-7.075004
1076.239,-2.3769613955731046,-13.863446
1089.724,-2.2613683955731005,-20.746418
1103.379,-2.1436623955731022,-27.804682
1117.204,-2.0246583955730983,-34.889721
1131.203,-1.9056323955731074,-42.135513
1145.377,-1.7879723955731066,-49.444855
1159.728,-1.669304395573107,-56.960735
1174.26,-1.549034395573102,-64.571152
1188.974,-1.4277193955731065,-72.353523
1203.871,-1.3070303955731077,-80.28611
1218.956,-1.1877603955731075,-88.238579
1234.23,-1.069176395573109,-96.354156
1249.695,-0.9510653955731101,-104.577484
1265.353,-0.83282539557311,-112.934578
1281.208,-0.7143103955731078,-121.455643
1297.262,-0.5963603955731003,-130.069016
1313.517,-0.48030139557310747,-138.812515
1329.975,-0.36563139557310365,-147.647995
1346.64,-0.25145039557310156,-156.568283
1363.513,-0.13693339557310935,-165.631058
1380.598,-0.0220803955730986,-174.713791
1397.897,0.09404660442689305,176.005569
1415.413,0.21045660442689496,166.636948
1433.148,0.32735360442688943,157.143204
1451.106,0.44453360442689416,147.470337
1469.288,0.5635596044268993,137.730713
1487.699,0.6845466044268989,127.848244
1506.34,0.8076166044268973,117.797379
1525.214,0.9328526044268983,107.600609
1544.325,1.060576604426899,97.264519
1563.676,1.1894676044268948,86.84285
1583.269,1.3206326044268906,76.184586
1603.107,1.4541466044268958,65.440971
1623.194,1.591307604426902,54.518787
1643.533,1.729865604426891,43.431149
1664.127,1.8693616044268992,32.175655
1684.978,2.007918604426891,20.822241
1706.091,2.1461556044268946,9.212884
1727.469,2.2826686044268882,-2.555586
1749.114,2.41500760442689,-14.423941
1771.031,2.541548604426893,-26.437424
1793.222,2.6611936044268987,-38.649258
1815.691,2.7751536044268903,-50.908409
1838.442,2.8883206044268945,-63.434975
1861.477,3.0042256044268925,-76.009186
1884.802,3.1264796044268905,-88.71804
1908.419,3.256972604426892,-101.55912
1932.331,3.398871604426901,-114.696144
1956.543,3.55217660442689,-127.911415
1981.059,3.7184136044268996,-141.291595
2005.882,3.896842604426894,-154.918747
2031.016,4.083647604426901,-168.760757
2056.465,4.2754056044268935,177.177139
2082.232,4.468161604426896,162.735062
2108.323,4.658774604426895,148.209167
2134.74,4.846198604426888,133.296738
2161.489,5.0283806044269,118.097755
2188.572,5.205115604426894,102.769279
2215.995,5.377303604426899,87.159401
2243.762,5.545966604426894,71.271614
2271.876,5.710936604426891,55.17598
2300.343,5.871947604426893,38.87434
2329.167,6.028258604426895,22.206707
2358.351,6.178321604426898,5.252321
2387.902,6.320449604426898,-11.830802
2417.822,6.453406604426888,-29.268768
2448.118,6.57482060442689,-46.906612
2478.793,6.683287604426894,-64.903885
2509.852,6.7770226044268895,-83.175682
2541.301,6.854987604426896,-101.562553
2573.144,6.917143604426897,-120.280769
2605.385,6.963042604426889,-139.323441
2638.031,6.992217604426898,-158.613434
2671.086,7.0034626044269,-178.060349
2704.555,6.993994604426902,162.266968
2738.443,6.959799604426891,142.331985
2772.756,6.898192604426896,122.285225
2807.499,6.8111416044268935,102.098579
2842.677,6.7036046044269,81.917389
2878.296,6.58173260442689,61.574902
