Frequency(Hz), Magnitude(dB),  Phase(deg)
  467.280, 109.321053, -77.308952
  473.135, 109.302216, -80.089737
  479.063, 109.284943, -82.934624
  485.066, 109.269028, -85.796501
  491.144, 109.253845, -88.678596
  497.298, 109.238647, -91.621010
  503.529, 109.223816, -94.632881
  509.839, 109.209755, -97.723129
  516.227, 109.196274, -100.738663
  522.695, 109.182442, -103.900497
  529.245, 109.168312, -107.055161
  535.876, 109.153488, -110.205299
  542.591, 109.140175, -113.482483
  549.389, 109.128120, -116.692406
  556.273, 109.117737, -120.044769
  563.243, 109.108017, -123.398888
  570.301, 109.098671, -126.800972
  577.447, 109.090202, -130.206345
  584.682, 109.083176, -133.685593
  592.008, 109.077599, -137.286240
  599.426, 109.073189, -140.817062
  606.937, 109.069260, -144.426468
  614.542, 109.065948, -148.159363
  622.242, 109.063217, -151.898254
  630.039, 109.062035, -155.711029
  637.934, 109.062309, -159.511902
  645.927, 109.064575, -163.430084
  654.021, 109.068077, -167.366882
  662.215, 109.072380, -171.346649
  670.513, 109.077332, -175.399567
  678.915, 109.082405, -179.444962
  687.422, 109.088448, 176.433548
  696.035, 109.096222, 172.276642
  704.756, 109.105682, 168.087067
  713.587, 109.117432, 163.852722
  722.528, 109.130104, 159.502502
  731.582, 109.144051, 155.157074
  740.748, 109.158623, 150.799469
  750.030, 109.174530, 146.289581
  759.428, 109.192657, 141.776779
  768.944, 109.212791, 137.183838
  778.579, 109.235626, 132.566238
  788.334, 109.261063, 127.817734
  798.212, 109.289513, 123.062241
  808.214, 109.320976, 118.203896
  818.341, 109.355003, 113.321564
  828.595, 109.393997, 108.447105
  838.977, 109.437141, 103.431610
  849.489, 109.484268, 98.285416
  860.134, 109.534462, 93.145569
  870.911, 109.587021, 87.937576
  881.824, 109.641411, 82.711113
  892.873, 109.699066, 77.351433
  904.061, 109.760735, 71.999245
  915.389, 109.826271, 66.495094
  926.859, 109.894669, 60.898987
  938.472, 109.967041, 55.175179
  950.231, 110.043533, 49.354057
  962.138, 110.125610, 43.533203
  974.194, 110.213135, 37.556297
  986.400, 110.304489, 31.570208
  998.760, 110.400574, 25.362494
 1011.274, 110.500061, 19.098063
 1023.946, 110.603790, 12.680691
 1036.776, 110.711273, 6.238237
 1049.767, 110.821236, -0.361528
 1062.921, 110.933571, -7.075004
 1076.239, 111.047905, -13.863446
 1089.724, 111.163498, -20.746418
 1103.379, 111.281204, -27.804682
 1117.204, 111.400208, -34.889721
 1131.203, 111.519234, -42.135513
 1145.377, 111.636894, -49.444855
 1159.728, 111.755562, -56.960735
 1174.260, 111.875832, -64.571152
 1188.974, 111.997147, -72.353523
 1203.871, 112.117836, -80.286110
 1218.956, 112.237106, -88.238579
 1234.230, 112.355690, -96.354156
 1249.695, 112.473801, -104.577484
 1265.353, 112.592041, -112.934578
 1281.208, 112.710556, -121.455643
 1297.262, 112.828506, -130.069016
 1313.517, 112.944565, -138.812515
 1329.975, 113.059235, -147.647995
 1346.640, 113.173416, -156.568283
 1363.513, 113.287933, -165.631058
 1380.598, 113.402786, -174.713791
 1397.897, 113.518913, 176.005569
 1415.413, 113.635323, 166.636948
 1433.148, 113.752220, 157.143204
 1451.106, 113.869400, 147.470337
 1469.288, 113.988426, 137.730713
 1487.699, 114.109413, 127.848244
 1506.340, 114.232483, 117.797379
 1525.214, 114.357719, 107.600609
 1544.325, 114.485443, 97.264519
 1563.676, 114.614334, 86.842850
 1583.269, 114.745499, 76.184586
 1603.107, 114.879013, 65.440971
 1623.194, 115.016174, 54.518787
 1643.533, 115.154732, 43.431149
 1664.127, 115.294228, 32.175655
 1684.978, 115.432785, 20.822241
 1706.091, 115.571022, 9.212884
 1727.469, 115.707535, -2.555586
 1749.114, 115.839874, -14.423941
 1771.031, 115.966415, -26.437424
 1793.222, 116.086060, -38.649258
 1815.691, 116.200020, -50.908409
 1838.442, 116.313187, -63.434975
 1861.477, 116.429092, -76.009186
 1884.802, 116.551346, -88.718040
 1908.419, 116.681839, -101.559120
 1932.331, 116.823738, -114.696144
 1956.543, 116.977043, -127.911415
 1981.059, 117.143280, -141.291595
 2005.882, 117.321709, -154.918747
 2031.016, 117.508514, -168.760757
 2056.465, 117.700272, 177.177139
 2082.232, 117.893028, 162.735062
 2108.323, 118.083641, 148.209167
 2134.740, 118.271065, 133.296738
 2161.489, 118.453247, 118.097755
 2188.572, 118.629982, 102.769279
 2215.995, 118.802170, 87.159401
 2243.762, 118.970833, 71.271614
 2271.876, 119.135803, 55.175980
 2300.343, 119.296814, 38.874340
 2329.167, 119.453125, 22.206707
 2358.351, 119.603188, 5.252321
